"X","Unnamed..0","Time","Engine_Coolant_Temperature_degreesC","Intake_Manifold_Absolute_Pressure_kPa","Engine_RPM_RPM","Vehicle_Speed_Sensor_km_h","Intake_Air_Temperature_degreesC","Air_Flow_Rate_from_Mass_Flow_Sensor_g_s","Absolute_Throttle_Position_","Ambient_Air_Temperature_degreesC","Accelerator_Pedal_Position_D_","Accelerator_Pedal_Position_E_","label","Engine_Coolant_Temperature_A_degreesC","Intake_Air_Temperature_A_degreesC","Ambient_Air_Temperature_A_degreesC","distance_from_1","Predicted_Air_Flow_Rate_from_Mass_Flow_Sensor_g_s"
29260,2550824,"09:38:18.702",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29263,2550827,"09:38:19.004",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29262,2550826,"09:38:18.916",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29265,2550829,"09:38:19.214",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29266,2550830,"09:38:19.305",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29267,2550831,"09:38:19.453",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29264,2550828,"09:38:19.124",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.8,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7298438738066,43.2189790032864
29738,2551302,"09:39:15.406",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7411642000632,43.2189790032864
29739,2551303,"09:39:15.527",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,54.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7411642000632,43.2189790032864
29740,2551304,"09:39:15.615",89.0878214037526,202.496189524059,2331.51739707618,133.334633538744,8.50566365531619,53.41,83.5,2.08978457261987,14.1,14.5,"fleet4",90.5326808537039,28.3942021342598,21.5861924556397,92.7411642000632,43.2189790032864
